Signal Frequency 1,RMS Voltage 1,Signal Frequency 2,RMS Voltage 2,Signal Frequency 3,RMS Voltage 3
50,0.00,50,0.00,50,0.00
100,0.46,100,0.56,100,0.66
150,0.70,150,0.84,150,1.00
200,0.89,200,1.06,200,1.25
250,1.07,250,1.26,250,1.48
300,1.21,300,1.44,300,1.67
350,1.32,350,1.57,350,1.82
400,1.41,400,1.65,400,1.92
450,1.48,450,1.74,450,2.00
500,1.53,500,1.80,500,2.07
550,1.58,550,1.86,550,2.12
600,1.62,600,1.90,600,2.16
650,1.64,650,1.94,650,2.19
700,1.67,700,1.96,700,2.21
750,1.69,750,1.99,750,2.23
800,1.71,800,2.01,800,2.25
850,1.72,850,2.03,850,2.26
900,1.74,900,2.04,900,2.27
950,1.75,950,2.05,950,2.28
1000,1.75,1000,2.06,1000,2.29
1050,1.76,1050,2.07,1050,2.29
1100,1.77,1100,2.08,1100,2.30
1150,1.78,1150,2.09,1150,2.30
1200,1.78,1200,2.10,1200,2.31
1250,1.79,1250,2.10,1250,2.31
1300,1.79,1300,2.11,1300,2.31
1350,1.80,1350,2.11,1350,2.31
1400,1.80,1400,2.12,1400,2.31
1450,1.81,1450,2.12,1450,2.31
1500,1.81,1500,2.12,1500,2.31
1550,1.81,1550,2.13,1550,2.31
1600,1.81,1600,2.13,1600,2.31
1650,1.81,1650,2.13,1650,2.31
1700,1.82,1700,2.13,1700,2.31
1750,1.82,1750,2.14,1750,2.31
1800,1.82,1800,2.14,1800,2.30
1850,1.82,1850,2.14,1850,2.30
1900,1.82,1900,2.14,1900,2.30
1950,1.83,1950,2.14,1950,2.30
2000,1.83,2000,2.15,2000,2.30
2050,1.83,2050,2.15,2050,2.30
2100,1.83,2100,2.15,2100,2.30
2150,1.83,2150,2.15,2150,2.29
2200,1.83,2200,2.15,2200,2.29
2250,1.83,2250,2.15,2250,2.29
2300,1.83,2300,2.15,2300,2.29
2350,1.84,2350,2.15,2350,2.29
2400,1.84,2400,2.16,2400,2.28
2450,1.84,2450,2.16,2450,2.28
2500,1.84,2500,2.16,2500,2.28
2550,1.84,2550,2.16,2550,2.28
2600,1.84,2600,2.16,2600,2.28
2650,1.84,2650,2.16,2650,2.27
2700,1.84,2700,2.16,2700,2.27
2750,1.84,2750,2.16,2750,2.27
2800,1.84,2800,2.16,2800,2.27
2850,1.84,2850,2.16,2850,2.27
2900,1.85,2900,2.17,2900,2.27
2950,1.85,2950,2.17,2950,2.26
3000,1.85,3000,2.17,3000,2.26
3050,1.85,3050,2.17,3050,2.26
3100,1.85,3100,2.17,3100,2.26
3150,1.85,3150,2.17,3150,2.26
3200,1.85,3200,2.17,3200,2.25
3250,1.85,3250,2.17,3250,2.25
3300,1.85,3300,2.17,3300,2.25
3350,1.85,3350,2.17,3350,2.25
3400,1.86,3400,2.17,3400,2.25
3450,1.85,3450,2.17,3450,2.25
3500,1.86,3500,2.17,3500,2.24
3550,1.85,3550,2.17,3550,2.24
3600,1.85,3600,2.18,3600,2.24
3650,1.86,3650,2.17,3650,2.24
3700,1.86,3700,2.18,3700,2.24
3750,1.86,3750,2.18,3750,2.24
3800,1.86,3800,2.18,3800,2.24
3850,1.86,3850,2.18,3850,2.24
3900,1.86,3900,2.18,3900,2.23
3950,1.86,3950,2.18,3950,2.23
4000,1.86,4000,2.18,4000,2.23
4050,1.87,4050,2.18,4050,2.23
4100,1.86,4100,2.18,4100,2.23
4150,1.86,4150,2.19,4150,2.23
4200,1.87,4200,2.19,4200,2.26
4250,1.89,4250,2.19,4250,2.22
4300,1.84,4300,2.19,4300,2.23
4350,1.85,4350,2.19,4350,2.22
4400,1.85,4400,2.20,4400,2.23
4450,1.89,4450,2.18,4450,2.21
4500,1.89,4500,2.17,4500,2.21
4550,1.90,4550,2.16,4550,2.21
4600,1.86,4600,2.17,4600,2.17
4650,1.88,4650,2.20,4650,2.21
4700,1.87,4700,2.17,4700,2.21
4750,1.90,4750,2.20,4750,2.20
4800,1.86,4800,2.20,4800,2.21
4850,1.87,4850,2.18,4850,2.22
4900,1.88,4900,2.19,4900,2.21
4950,1.88,4950,2.19,4950,2.21
5000,1.88,5000,2.19,5000,2.20
